"","e","n","elev"
"132",320075.246351184,5224006.84392247,0
"133",320068.092296311,5223983.71943827,0
"134",320080.79790352,5223957.25651976,0
"135",320103.932474914,5223933.00795728,0
"136",320106.679945572,5223911.45560489,0
"137",320103.8591167,5223880.50285237,0
"138",320103.612231917,5223835.64861626,0
"139",320105.301595077,5223801.01406392,0
"140",320100.604764003,5223765.15596724,0
"141",320091.811726689,5223746.58749982,0
"142",320078.565349245,5223725.2177035,0
"143",320078.037897671,5223724.57550464,0
"144",320078.325154011,5223703.95844051,0
"145",320094.139025596,5223687.83103128,0
"146",320105.265882418,5223671.23860829,0
"147",320107.833493922,5223633.74104895,0
"148",320106.060926021,5223586.36665277,0
"149",320106.401339388,5223547.46950379,0
"150",320093.388428064,5223523.76364159,0
"151",320089.282258109,5223505.66038133,0
"152",320082.598903272,5223489.6608772,0
"153",320066.014061386,5223472.08914693,0
"154",320055.22795548,5223449.78397518,0
"155",320058.85014603,5223413.57187572,0
"156",320088.080708513,5223399.36586341,0
"157",320105.300013033,5223381.01882029,0
"158",320103.417366755,5223352.51849822,0
"159",320094.033544696,5223316.19551967,0
"160",320076.036834964,5223277.24838401,0
"161",320057.929783229,5223263.06472937,0
"162",320032.09106743,5223255.19246814,0
"163",319999.225147265,5223258.42037848,0
"164",319965.775064793,5223267.48896699,0
"165",319947.267317924,5223286.88797905,0
"166",319924.603370358,5223318.26174596,0
"167",319910.245378387,5223302.09058728,0
"168",319891.434073547,5223283.11810939,0
"169",319868.172782059,5223273.14195055,0
"170",319842.157401856,5223261.12290819,0
"171",319840.575044286,5223259.19630316,0
"172",319831.137680718,5223241.15378194,0
"173",319839.620434437,5223197.75513568,0
"174",319857.887839563,5223157.09667105,0
"175",319869.481928346,5223135.83170802,0
"176",319852.522365509,5223101.20357082,0
"177",319815.199833441,5223089.83223994,0
"178",319781.219090003,5223086.46070147,0
"179",319752.392781498,5223078.88170101,0
"180",319731.825494621,5223065.63369472,0
"181",319710.670703587,5223046.42880449,0
"182",319687.35269257,5223042.9355072,0
"183",319663.617464991,5223014.03684282,0
"184",319636.37034337,5222996.58692662,0
"185",319599.10832166,5222990.53039689,0
"186",319574.201364911,5222961.51543631,0
"187",319551.988399269,5222929.22856407,0
"188",319529.775393836,5222896.94161491,0
"189",319497.25030935,5222861.27194024,0
"190",319468.537468235,5222840.72701434,0
"191",319437.657989247,5222824.09611128,0
"192",319409.023756502,5222806.12096167,0
"193",319372.462305534,5222793.0554555,0
"194",319341.118754963,5222792.89480395,0
"195",319313.81797853,5222793.72515412,0
"196",319274.506012306,5222790.41443541,0
"197",319235.017202803,5222782.95716041,0
"198",319185.984183633,5222794.0183517,0
"199",319147.029490805,5222810.79844872,0
"200",319138.136112766,5222852.38618767,0
"201",319110.54826933,5222873.83339056,0
"202",319118.366245159,5222967.21822191,0
"203",319105.313229659,5223008.98373299,0
"204",319081.878204393,5223006.6585843,0
"205",319077.939248243,5222957.30845491,0
"206",319039.902722573,5222905.75527224,0
"207",319019.205495556,5222846.48478613,0
"208",319017.196158617,5222783.75988115,0
"209",319026.092905729,5222753.96974939,0
"210",319051.574285172,5222741.7514312,0
